AAV2020;Indice_Homogeneite;PCT_SOCIAUX
618;15.29;0.84
CHA;15.92;0.87
529;10.62;0.87
550;3.68;0.92
523;6.7;0.98
621;18.05;1.06
537;16.62;1.1
606;11.15;1.15
669;13.19;1.17
464;7.25;1.23
361;7.25;1.23
495;4.71;1.24
528;5.84;1.31
639;9.91;1.32
354;11.39;1.33
598;2.33;1.36
578;1.81;1.37
564;7.95;1.38
681;11.23;1.38
298;7.02;1.42
386;12.69;1.47
284;8.18;1.63
384;2.94;1.63
453;6.26;1.65
526;11.08;1.7
632;7.98;1.72
414;8.48;1.73
192;7.96;1.76
9D7;20.76;1.82
661;11.66;1.83
538;7.41;1.86
331;11.53;1.96
502;9.02;1.98
170;13.82;2.02
231;3.55;2.05
410;7.04;2.08
131;6.5;2.1
615;10.76;2.26
355;12.97;2.27
501;17.45;2.33
271;7.79;2.34
316;4.15;2.37
302;2.38;2.38
315;11.69;2.39
455;9.29;2.47
506;6.87;2.5
314;9.38;2.5
675;2.06;2.51
549;7.09;2.52
579;5.34;2.53
542;8.61;2.56
546;11.53;2.57
377;12.12;2.6
166;6.87;2.63
425;11.8;2.66
540;6.27;2.66
497;2.98;2.74
434;9.99;2.75
599;6.68;2.76
483;10.98;2.77
492;6.28;2.8
359;5.09;2.83
657;15.89;2.85
555;10.01;2.89
245;6.26;2.91
439;14.04;2.92
340;13.02;2.96
566;15.37;2.99
266;7.37;3.0
344;5.9;3.0
371;5.59;3.01
195;8.59;3.04
477;21.59;3.04
485;7.85;3.05
567;10.29;3.07
467;4.36;3.08
673;14.35;3.11
405;6.14;3.12
616;5.85;3.15
605;7.88;3.19
312;13.54;3.27
594;7.54;3.3
600;14.76;3.31
525;21.08;3.32
363;9.02;3.33
469;8.95;3.35
471;14.53;3.35
642;15.86;3.38
527;14.61;3.39
575;12.67;3.4
385;15.07;3.42
233;5.92;3.42
255;10.95;3.44
667;13.88;3.46
382;11.01;3.48
431;8.62;3.49
393;11.42;3.49
313;19.0;3.51
180;11.46;3.53
488;14.02;3.54
601;14.08;3.57
656;8.38;3.61
353;11.56;3.62
521;5.14;3.63
334;6.15;3.67
459;0.66;3.69
9A3;10.83;3.7
154;9.28;3.71
396;10.93;3.71
440;8.14;3.72
139;4.84;3.73
468;2.72;3.77
460;12.11;3.79
666;15.44;3.8
226;4.7;3.8
444;6.95;3.8
388;7.63;3.81
253;9.06;3.81
430;18.48;3.87
503;8.49;3.91
682;12.09;3.92
456;5.98;3.93
631;19.35;3.95
609;17.86;3.96
569;15.68;3.97
592;4.53;4.0
645;4.95;4.02
655;11.08;4.04
531;14.2;4.05
MON;11.65;4.05
408;4.15;4.09
281;6.76;4.09
558;14.05;4.11
517;22.07;4.12
327;8.26;4.13
532;11.2;4.14
349;3.27;4.16
323;12.1;4.21
254;10.69;4.23
366;15.34;4.23
412;5.3;4.25
533;18.82;4.25
329;10.42;4.26
296;8.88;4.27
474;16.73;4.29
391;9.92;4.31
591;14.53;4.33
515;11.89;4.35
369;8.39;4.36
293;15.99;4.36
324;9.58;4.38
390;7.86;4.39
583;4.6;4.41
641;17.86;4.42
541;18.54;4.42
339;6.3;4.45
543;10.27;4.46
103;6.06;4.48
188;10.07;4.48
325;2.54;4.52
486;13.65;4.52
662;21.02;4.53
404;8.85;4.55
646;11.5;4.62
617;6.7;4.62
292;6.42;4.64
199;10.33;4.65
175;10.46;4.67
509;17.43;4.76
411;21.24;4.79
654;15.19;4.79
500;10.77;4.8
677;3.39;4.81
290;6.89;4.83
158;9.16;4.83
670;18.45;4.88
519;6.98;4.89
419;8.21;4.93
597;10.5;4.94
438;12.86;4.95
651;15.46;4.95
387;20.04;4.98
127;11.96;4.99
383;11.24;5.02
421;7.17;5.03
664;9.28;5.07
368;13.42;5.08
490;6.14;5.08
241;12.57;5.09
513;3.13;5.11
518;7.41;5.13
522;4.02;5.16
143;7.02;5.19
445;24.69;5.2
650;12.61;5.2
121;12.46;5.28
113;4.53;5.29
246;22.3;5.3
373;14.7;5.35
181;14.06;5.35
568;17.07;5.35
207;13.19;5.39
129;8.15;5.4
611;14.57;5.41
551;19.51;5.43
229;22.87;5.44
202;11.88;5.45
548;18.0;5.46
530;11.43;5.46
574;19.05;5.49
219;13.81;5.51
275;5.19;5.55
376;7.44;5.56
672;14.63;5.56
106;10.8;5.57
406;7.46;5.58
173;16.39;5.59
305;13.45;5.61
614;20.78;5.66
379;22.76;5.67
547;22.67;5.67
238;6.09;5.68
306;4.34;5.7
478;14.35;5.72
593;19.4;5.73
309;14.34;5.73
463;8.07;5.77
649;5.79;5.77
407;8.41;5.79
635;20.4;5.82
333;13.96;5.85
335;7.35;5.85
311;13.34;5.88
447;20.63;5.88
247;8.62;5.89
301;7.6;5.9
437;11.54;5.9
381;13.78;5.91
310;8.05;5.92
636;14.11;5.93
214;8.76;5.95
360;11.51;5.97
321;21.65;5.98
514;18.08;5.99
498;17.09;6.03
398;10.23;6.04
120;7.22;6.06
577;8.4;6.07
206;12.73;6.08
458;5.29;6.09
289;15.74;6.1
235;11.16;6.13
115;9.18;6.22
443;11.19;6.24
402;22.62;6.24
395;5.71;6.24
337;22.74;6.25
570;12.57;6.26
544;13.83;6.27
137;3.88;6.27
351;15.39;6.28
462;15.08;6.29
587;7.12;6.31
427;7.71;6.34
370;17.08;6.34
350;6.28;6.35
559;6.78;6.37
348;16.12;6.37
186;7.29;6.37
320;8.03;6.42
607;19.61;6.48
279;11.06;6.49
441;16.73;6.49
105;7.91;6.49
152;9.53;6.49
535;12.13;6.5
608;13.25;6.51
250;17.16;6.51
225;11.13;6.53
272;11.79;6.54
345;3.68;6.54
365;11.65;6.62
465;15.66;6.63
259;13.5;6.66
179;10.79;6.68
330;10.94;6.69
211;5.96;6.7
475;15.23;6.71
553;15.68;6.71
228;15.99;6.78
511;13.39;6.81
451;18.77;6.85
148;5.1;6.87
149;7.64;6.88
224;8.41;6.88
449;15.39;6.89
111;8.65;6.89
276;15.38;6.89
194;12.11;6.97
557;13.15;6.97
153;6.22;7.06
217;16.78;7.08
189;14.26;7.08
637;11.5;7.09
227;16.52;7.1
145;7.69;7.11
285;9.96;7.13
343;5.58;7.13
663;11.52;7.13
297;15.23;7.16
205;8.18;7.16
420;7.73;7.19
612;6.71;7.2
204;13.59;7.26
580;12.28;7.26
268;11.39;7.29
213;7.0;7.3
BAL;9.77;7.31
248;13.56;7.31
110;8.9;7.33
416;17.24;7.36
589;4.63;7.37
367;11.76;7.38
244;12.3;7.4
429;21.38;7.4
140;10.43;7.44
466;21.27;7.46
126;6.67;7.49
155;11.5;7.51
457;11.32;7.53
432;7.05;7.53
573;26.18;7.57
446;6.44;7.6
602;16.87;7.61
123;9.52;7.61
499;12.51;7.61
435;9.5;7.65
347;17.3;7.66
203;11.05;7.74
556;8.73;7.75
545;12.79;7.78
341;11.15;7.8
210;8.53;7.8
119;8.09;7.81
375;9.72;7.89
342;4.8;7.89
295;8.59;7.89
282;10.1;7.91
278;9.56;7.93
665;15.01;7.93
378;16.55;7.96
392;7.09;8.03
132;9.3;8.04
263;14.1;8.17
563;10.52;8.2
251;7.38;8.2
633;7.47;8.22
536;9.12;8.28
261;5.11;8.29
257;10.03;8.39
232;17.31;8.4
104;7.93;8.4
629;22.3;8.44
