GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
001;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1224633.21274
002;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;172493.25623
003;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;124860.0484
004;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;137526.9921
005;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;77478.55063
006;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;89724.54457
008;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;62955.45843
010;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;54158.49661
012;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;42004.19521
013;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;47169.867
014;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;47707.5217
015;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;73512.80797
017;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;28783.37916
018;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;28041.98991
019;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;42215.67832
020;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;34442.06976
022;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;33980.30659
023;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;39530.30171
024;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;37498.19441
025;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;29652.86217
026;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;40380.4392
028;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;25914.58811
029;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;25844.23707
030;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;19310.94262
031;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;20006.68846
032;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;20851.17611
033;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;27043.69653
034;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;26560.11347
035;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;26881.12968
036;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;43756.6063
037;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;17776.54227
038;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;32819.5342
039;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;36517.78551
040;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;20151.31153
041;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;21229.88246
042;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;43786.8973
043;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;16455.36385
044;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;13630.52108
045;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;17298.71099
046;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;16141.5617
047;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;16442.74708
048;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;28662.9833
049;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;12700.54002
050;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;18239.11418
051;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;15497.33633
052;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;13492.00307
053;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;15782.44294
054;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;21718.01612
