AAV2020;CS2;CS3;CS5;CS6
000;327315.56814262486;294887.75722803;968325.500517208;1028260.3486719653
001;533670.680444282;2682085.6103264303;2711918.5804500203;1525056.603638718
002;109327.67500432288;329410.1926962352;397606.4573077784;290834.6560677753
003;67943.5157913826;184801.4627292259;236073.0718228759;137128.51020863294
004;64321.045079248965;298801.11406437313;353885.02497265715;246693.17455699164
005;85645.66898270347;381192.08662309125;337679.79794775235;200510.6381401073
006;95125.5676884241;284303.7669540942;340985.0946174226;213067.11008863538
008;55293.64880755325;239051.99315980513;233399.6500107544;165714.5823123775
010;41970.13132529375;162461.4586097741;201698.8310915383;160533.71262040234
012;58331.56872753714;155765.21153880237;186751.0326974878;100659.22476214313
013;37546.44739163526;166441.2555492553;179128.95887158933;132022.98506758743
014;38595.305939004014;164415.4542447541;159636.69070708734;103505.36862543995
015;30291.712142133925;103191.21357167803;167584.19663110346;132772.5194155836
017;48104.344946687626;98654.40142236887;161292.02684333824;81196.81141602097
018;40730.771252207254;66359.58172560472;150560.49524418847;75415.84041749177
019;26391.44965863778;81430.76029701237;126132.46279884386;88276.69879575481
020;22888.77924646108;79444.9651698617;124992.80462877806;78541.82576660029
022;26527.294823107775;87158.95402569878;118257.50230404123;85295.10663959524
023;27121.22740097147;58024.47311482252;112013.66751282358;96969.03599883127
024;24956.76759567315;67994.1244766758;115195.1806399899;85264.62607961483
025;21746.193500951227;74958.56520854252;107308.48912517064;90090.64312499523
026;23448.542011820897;69679.33494634584;105895.68809309755;83096.851362459
028;21290.257259553575;67591.64694484744;99685.28255937913;73214.9609922752
029;18565.234459077376;46891.196968685574;95646.43153561965;93031.01324741915
030;29478.43123586113;35069.70229404021;99410.31300188822;63006.88563050205
031;36482.18877519505;65801.04140309182;96018.39435535224;50146.58693132841
032;16889.058592873625;60840.175839391726;91181.34840855902;61768.03445733871
033;17685.673456888057;60680.20744662799;95872.9585698261;65592.59997227218
034;16035.128727025412;44655.64302227463;90513.41292453317;73081.21815270999
035;13885.89756310668;47564.762100851636;85185.6660750953;66750.76899149938
036;17646.451489287898;53420.83259601874;84892.40944737429;64520.64971392584
037;23283.686998678437;38388.205174224175;86680.56531442638;53055.27721175473
038;11834.546713922877;31858.539941734143;76410.4188180506;73557.1679547502
039;12242.184848540388;34542.221307216576;80313.60304470191;68064.61301279176
040;24556.6887822313;41743.68075194121;78577.29388996666;58660.82145331266
041;16600.083321765887;39866.53342941118;75997.0333809148;55047.48577170583
042;10663.815901213491;20770.54476302435;78743.5630654324;76152.75080860294
043;21821.321266787494;58168.02175654981;70335.91005832459;54389.40029777576
044;17026.683610675755;42162.07903453845;67433.58410139523;44288.00910290957
045;14200.902266128072;44022.186764421196;66376.06347793149;49300.91276960906
046;13332.726329667521;42666.74016797999;75190.88989495033;42417.536730094514
047;23662.42099301373;38889.48792852748;72704.1492877143;44570.390900943225
048;9503.927529381384;22588.111759180556;62722.671013196144;56376.13665693288
049;15583.916881984216;35991.52424146091;60053.57614669668;48281.97726570832
050;16159.740957543594;43557.22474386102;60464.4775106073;43946.86992690711
051;17797.886181876827;34294.620716828715;58659.41180352458;37839.35720811516
052;14799.368155416729;27543.43038011975;53605.18947283941;46492.84462807382
053;13513.612581402365;27587.335953375572;52440.89062861974;41922.12432476652
054;10813.18131800574;22641.47628078413;53146.12584204124;43993.43028781322
055;12110.442241775065;26053.54938697951;49838.62184699041;45793.299603672385
056;11584.154406398118;21944.108243584866;47179.16636116998;40137.216331229145
057;13410.050427279073;27890.68158991977;48986.7687582449;34795.27638472248
058;10397.854092751999;25860.669471791578;50116.76051260252;45298.43191928201
059;6947.496147906464;16043.861533576908;47659.85034513198;45373.93812957659
060;14393.776403391203;14953.130322600135;46848.674826627124;30985.93242348066
061;7250.745958577779;16433.297221647485;35888.43266439687;46848.44470413839
062;10189.66832923017;21303.310084117787;44685.470763033736;33996.82763623845
063;9172.325193115104;28719.333253589157;46721.8084064479;32649.97371728689
064;7923.65091322421;20125.590259919456;44125.319749224414;32822.03253894961
065;7939.775165344782;23974.07994920121;41690.79900493391;35415.97862795275
066;8987.193341986971;18067.59530662784;42932.267830071534;41878.01179771638
067;9094.6630263924;17095.856351652328;37879.34573866867;52199.82376754984
068;7183.55374304123;13824.359544587578;40844.19359888796;36359.80695429186
069;6549.545610781895;22984.30282636436;37756.26307657169;29959.339420562497
070;8744.854934218176;16081.302473655032;36599.96389441637;34091.224441706545
071;6137.172056113038;19976.708522199922;39304.655977956565;31540.514025582976
072;11208.61840167912;11812.85530514695;35668.55171411609;25016.88055638642
073;5630.40630879562;10410.624174194583;40018.173162049934;30899.693385268867
074;7612.188476099628;18151.19480023992;33194.227689923035;28330.791409970145
075;6665.084699483671;16600.115223162633;33271.54064601585;34813.90444179208
076;6986.458955122367;15097.097758998258;34806.37226273162;32639.471425121134
077;4491.312535697095;7965.712603569602;32119.881104769363;31695.163159509008
078;6524.085866468275;22021.51324473092;31932.05399571639;28510.703159421886
079;8573.243930299477;12142.338250654111;32221.37548104563;29374.51223752268
080;8321.845152766351;14826.746233709922;32999.394929445036;30578.656647390635
081;8847.99250985958;15017.71985037591;35570.07477439241;25339.141275865248
082;8945.063492384557;14590.143508165833;32598.471821737818;20994.856027751663
083;6291.033575683477;15913.924070838992;34774.01928323296;28655.98772961835
084;8759.248597671263;15149.067672496332;32880.52038059551;31680.821550227076
085;7946.203068817605;12410.076996091782;36246.46369564215;22361.16045690734
086;6130.572257350595;20304.4180316974;29771.22843931111;25954.41436158354
087;8932.246750884218;13084.646913081606;32521.845291555233;26531.788130059314
088;10371.023985170927;14821.536804011901;33443.338529272696;22607.569260434524
089;10134.772324836635;8764.308778692744;30576.494293909313;21163.20600622731
090;5690.960519012776;9935.76478431965;31010.918972803345;27934.09093003296
091;8477.383407910449;10791.441126806283;33342.721457624066;18708.68166316833
092;11699.293258459027;12094.502472724582;31083.82867977395;16355.138420064084
093;7624.674873782561;13393.846587565757;30905.50888698074;22367.93828176001
094;4560.575152040927;9766.773625151221;27507.47146183976;26017.000495924145
095;6479.761204530216;11932.262672970613;29651.689204109145;24405.75624529887
096;5552.656241385158;8960.571174616147;27754.501859900614;30058.617056640283
097;4773.179635804718;10252.7521816741;26288.189456862747;21227.431535027135
098;8570.080542766627;12160.611488264292;35677.03692269996;18355.367185558836
100;5403.173617336287;10260.366214397525;28407.466065657478;23177.852847776885
101;7678.096315492571;11736.142849617525;31206.34442195947;20345.646599599328
102;5960.48764531682;10985.850220559036;27392.607890944084;23116.03013584115
103;7723.446503143222;12240.256820572082;25612.40130855216;19783.368585539178
104;9796.120061485828;10127.73796962625;31571.51674624925;18287.448118956272
105;7563.62114225256;9181.810697684661;26238.75705514358;18684.75102814944
106;5521.605382237222;9765.726644593366;27837.569157844904;20206.00814946098
107;6455.867528134696;10760.904916147723;22838.77843918459;20115.43556078392
108;4080.6704495021168;8305.558574241822;21251.156160513077;21740.535395517218
109;4362.567897928298;6657.424816790038;22878.101071850637;16694.408209167086
110;5318.366664988993;7603.0417604905715;20735.2144216316;17843.6791315425
111;6666.310134602252;7977.970370996855;23709.59916622893;19169.017048979927
112;3762.833981657961;9205.38746043815;22957.017760536844;18163.056726627394
113;5550.349765006581;11233.072973637381;17443.97130147708;12876.586364542589
114;4267.25817703318;7094.521029807414;19888.937902074096;18319.415694400723
