AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
9D3;6122.59891;13304.24416;46.02
512;1701.35806;4778.54342;35.6
256;4708.24162;14131.87299;33.32
409;1918.40982;6201.80212;30.93
496;1389.71557;4588.50779;30.29
042;43786.8973;147366.21381;29.71
269;3539.66996;11959.98281;29.6
560;1014.9834;3524.97363;28.79
221;4449.72345;15980.81397;27.84
622;522.57322;1882.06913;27.77
508;1023.21846;3697.22445;27.68
112;10250.5333;43428.34147;23.6
036;43756.6063;187516.36711;23.33
322;2391.43506;10250.67303;23.33
303;2309.32432;9916.42609;23.29
168;6211.84801;27096.37707;22.93
9C3;2393.56747;10561.9779;22.66
059;20963.03953;93042.53934;22.53
048;28662.9833;127329.65239;22.51
581;707.77176;3172.38694;22.31
634;480.72419;2243.56982;21.43
660;338.2672;1583.59572;21.36
039;36517.78551;171473.87729;21.3
9D1;30316.65162;143918.95178;21.07
283;2610.79141;12457.29822;20.96
144;6204.3677;29623.64066;20.94
184;5029.48203;24231.14737;20.76
374;1564.46288;7603.61943;20.58
077;13484.86819;65520.5097;20.58
038;32819.5342;159514.47646;20.57
216;4059.80121;19847.83555;20.45
015;73512.80797;359395.24082;20.45
128;7624.47475;37305.92732;20.44
644;503.41483;2474.3859;20.35
630;511.51392;2548.99051;20.07
317;2045.00758;10304.11605;19.85
586;581.51714;2992.57335;19.43
071;16085.61031;83034.89361;19.37
001;1224633.21274;6403754.71137;19.12
004;137526.9921;722683.33901;19.03
680;216.62622;1140.03801;19.0
183;4991.82869;26327.07356;18.96
653;440.78409;2340.30248;18.83
090;12437.16929;66125.80016;18.81
054;21718.01612;116739.19156;18.6
287;2225.71411;11975.95368;18.58
676;269.30407;1461.97881;18.42
026;40380.4392;220172.81794;18.34
625;499.79594;2729.8188;18.31
068;15614.88;85494.981;18.26
242;2539.79572;14353.76175;17.69
156;4716.68807;26813.2899;17.59
130;6638.95915;37816.51542;17.56
136;6030.11718;34650.55671;17.4
076;12094.34777;69499.65365;17.4
218;3169.05601;18295.30327;17.32
561;598.81689;3493.64627;17.14
638;404.73858;2374.67229;17.04
265;2731.06217;16072.10212;16.99
619;528.69774;3114.51117;16.98
679;223.70529;1323.29588;16.91
197;3606.17757;21411.0068;16.84
114;7910.70092;47155.26376;16.78
364;1288.56384;7697.2121;16.74
160;5191.92982;31284.81109;16.6
083;11173.48874;67655.10156;16.52
065;14184.57008;86691.09549;16.36
176;4568.15644;28018.35168;16.3
215;3209.32495;19769.20298;16.23
480;788.66825;4888.96436;16.13
9D6;3623.867;22460.17805;16.13
073;11325.27778;70601.62837;16.04
264;2351.74754;14703.36546;15.99
357;1183.47193;7419.87548;15.95
643;404.04463;2568.95331;15.73
394;1411.27641;8975.59929;15.72
061;14148.60278;90252.54995;15.68
9C1;9707.9542;62950.02774;15.42
069;11835.05399;77340.8438;15.3
023;39530.30171;259048.42949;15.26
019;42215.67832;278673.33526;15.15
124;6123.91858;40493.19928;15.12
002;172493.25623;1140467.41051;15.12
078;10480.32425;69350.46892;15.11
220;2928.77318;19477.14088;15.04
299;1680.56574;11209.77302;14.99
209;2943.71607;19704.85418;14.94
086;10358.84484;69449.30528;14.92
035;26881.12968;180495.67264;14.89
162;4528.84627;30411.11001;14.89
659;278.81161;1872.81409;14.89
413;1004.6906;6776.2351;14.83
652;347.23075;2351.95289;14.76
150;4951.19053;33591.4464;14.74
024;37498.19441;254403.48087;14.74
473;746.53805;5081.65679;14.69
167;4467.11019;30423.56639;14.68
146;4810.06905;32883.46051;14.63
164;4148.80638;28453.72564;14.58
448;896.55687;6155.13907;14.57
461;694.13668;4783.11561;14.51
358;1272.15501;8779.76773;14.49
389;1127.75141;7822.60955;14.42
595;473.84292;3294.97032;14.38
584;475.0969;3321.14788;14.31
080;10347.65114;72463.53216;14.28
033;27043.69653;189752.67111;14.25
034;26560.11347;187236.49877;14.19
100;9034.75646;64292.26283;14.05
116;6156.69841;44034.30923;13.98
505;616.54951;4425.36428;13.93
399;921.29535;6625.80195;13.9
094;8384.25839;61315.72754;13.67
288;1726.62951;12672.9445;13.62
620;436.22013;3207.67323;13.6
9C2;1738.5216;12821.96109;13.56
484;672.64876;4991.01118;13.48
400;985.87437;7323.65862;13.46
270;1759.73895;13114.10228;13.42
647;298.50831;2226.0514;13.41
243;2223.93498;16641.41318;13.36
157;4124.18866;30886.39573;13.35
095;8445.08912;63290.29402;13.34
476;577.58505;4343.20309;13.3
472;654.90791;4934.59512;13.27
118;5828.77663;44442.37975;13.12
